Affiliate_id,Count,Name,Overall_percentile
711,4,Alessandra Bisalti,87.7866
19148,3,Anaïs Puyobro,60.2978
7680,16,Lisa Fosnough,85.156
5351,10,Maria Hayden,99.6185
13623,10,Enid Landry,79.2759
1983,7,Cayley Gunn,91.3011
4783,8,Sadie Case,94.0111
12263,23,Abbie Larsen,94.3728
14731,5,Niu Cong,74.428
7951,1,Nyah Namisnak,64.5052
10191,18,Nicole Barnick,86.9408
18679,10,corrin lemieux,99.9482
14906,13,Madi Mansberger,99.2275
4367,2,Adrianna Arintok,87.0418
9565,4,Lexi Forrest,83.3271
9557,17,Luisa Rodrigues,84.2489
6793,5,Dawn Mason,93.0704
10196,29,Rachel Moore,92.833
21143,1,Nicole Loughlin,14.51
14238,3,Ansley Mosier,85.8068
13429,14,Irma van de Huygevoort,91.4262
12475,9,Rosimary Lima,84.6761
5332,39,Liz Tanzola,95.8296
4411,11,Samantha Ivaiti,81.91
8011,3,Tracy Ferrell,65.3088
17522,20,Kayla Twyman,9.789
13968,2,Andrea Hernandez,23.2357
514,9,Catherine Panetta,92.9064
14879,17,Rebecca Johnson,99.6427
6295,15,Rachel Owens,98.0322
18877,2,Daria Kiseleva,98.0356
9032,2,Mary Lawless,57.1001
8878,9,Melissa Nguyen-Alarcon,98.1487
13879,12,Bethany Hill,77.3901
12780,13,Josilyn Goebel,94.6127
13652,8,Kelli Myers,88.6014
18101,1,Samantha Reid,43.965
19559,7,Danielle Ashley,83.7561
3693,4,Denise Albaugh,87.3258
12823,17,Miken Trogdon,93.9801
12890,1,Sarah Long,92.5594
14871,8,Jori Braun,83.8027
18310,1,Margaret Haley,55.9073
6548,11,Jessica Roche,9.726
5045,17,Olivia Ng,89.896
6667,6,Jessica Weatherly,95.7157
5576,10,Cora Miller,93.7997
805,25,Jennifer Lam,96.9482
4463,11,Jessica Strickler,94.1803
2340,40,Jennifer Colomy,98.0011
14967,23,Amy Favretto,9.7639
14543,4,Clarissa Caposino,83.0044
16105,4,Claudia Gabrielli,91.8949
17010,20,Anna-Leena Honkatupa,90.1135
20880,10,Catharina Mora-Jensen,94.3003
19928,5,Marleen Werner,72.3514
18416,31,Jen Mattson,81.6951
1918,16,Juanita Chretien,97.3098
5028,11,Marissa Johnsen,98.4991
15410,11,Marika Ögren,97.0776
13750,2,Fera Gouw,88.8776
1677,27,Brittany Perkins,93.9317
6871,18,Jessica McCluskey,94.0034
3344,9,Jackie Violette,98.5708
9764,3,Alexis Gray,75.5655
9072,13,Stacey Summers,8.4529
18629,9,Abbey Steffl,98.1936
17251,20,Briana Lackman,96.6021
14890,12,Madeline Workman,93.4691
1861,28,Alicia Sufrinko,99.6746
18049,2,Anyelle Britto,73.3845
16144,11,Vicki Rittberg,75.9988
19649,2,Luciana Bouth,52.7131
17611,4,Sofía Uribe,64.992
15871,14,Marilou Beteta,9.833
7643,17,Amber Gordon,97.0828
17397,24,Beka Dollar,81.3783
12241,15,Dana Page,89.7726
4688,14,Danielle Geels,98.3947
8296,33,Carol-Lyn Graham,90.7271
19365,9,Roberta Lacerda,9.8114
8097,5,Wendy Williams,85.8715
1098,12,Holli Neely,75.2902
19009,6,Camille Torralba,72.5059
3322,4,Amy Van Gundy,86.2797
18475,2,Trea Diament,88.4987
4984,20,Zanna Björnson,99.3268
7588,9,Christine Bernardini,95.3075
7856,9,Rayssa Silva,93.684
5034,9,Anki Granaas,90.1446
5066,7,Seulbi Park,70.5053
7551,2,Amanda Iannotti,71.9967
578,3,Lucy Anne Thompson,81.2152
21225,1,Hilary Limont,19.3579
17682,12,Michelle Oquendo,64.4483
12969,6,Dawn Bridges,85.7006
6736,8,Laura Wright,9.0942
20436,5,Kateryna Kyrychenko,7.5717
6154,1,Jill Thornton,99.2776
16985,15,Robin McCord,98.1979
21281,3,Becky Weisberg,66.1028
12284,1,Brianne Fritts,0.0785
20171,3,Linda van Eijk,56.3794
12418,1,Lidia Bartoszewicz,98.9212
20803,9,Silvia Hoch,79.9482
19367,23,Angie Borum,95.5181
1518,8,Andi Davison,86.7268
8700,9,Jelena Bekkers,98.216
1939,10,Crystal Nunez,94.2675
21108,6,Kenzie Tillitt,92.8097
10338,7,Katie Travaline,96.098
7545,7,Stephanie Poeppelman,95.6656
1275,3,April Alexander,59.0178
5214,12,Meghan Barrett,91.2795
17891,16,Khristin Allen,99.4442
8104,4,Caroline Keim,88.5479
8245,2,Elisa Mazzolini,90.8298
4689,16,Jessica Blumberg,93.174
13190,7,Collette Pryer,81.4439
12088,3,Erika Croce,91.4685
16324,10,Mariah Walker,97.7534
14763,5,Ceciliana De Andino,71.6774
13583,4,Nadjejda Toullec,92.1857
18757,8,Yanxi Lau,74.9398
15558,2,Eun Ji Kim,85.5573
809,28,Jeanette Garcia,99.206
16786,3,Mylene Jankovits,96.7195
18564,12,Lisa Roivas,98.3248
19550,9,Hannah Graham,92.0839
17268,13,Casey Crist,98.8901
19526,18,Laine Margolin,98.2859
7998,11,Lynn Savoie,78.3386
4330,4,Julia Wilde,86.6811
7214,6,Suzi Wurzbach,77.4091
2888,4,Maria Roney,7.0599
11238,3,Allison Grimaldo,87.4932
18700,16,Lauriane Saindon,98.7615
2420,14,Tiarne Verrall,94.182
16878,1,Monique Soares,82.8067
3957,1,Kai Ingram,59.9594
