,Name,Division,OverallRank,Rank,Wk1_Score,Wk1_Rank,Wk1A_score,Wk1A_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
132197,Andrew Porter,I-Men,4051.0,469.0,303.0,221.0,345.0,573.0,119.0,840.0,241.0,1478.0,0.0,0.0,5.0,5.0
505544,Hal Fisher,I-Men,,,303.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
803749,Zach D'Hollosy,I-Men,,,303.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
323300,Mitchel Stevenson,I-Men,642.0,51.0,302.0,231.0,424.0,204.0,130.0,87.0,275.0,111.0,0.0,0.0,5.0,5.0
155824,Jacob Anderson,I-Men,904.0,75.0,302.0,231.0,425.0,175.0,129.0,139.0,280.0,66.0,0.0,0.0,5.0,5.0
8877,Ivan Kruger,I-Men,4046.0,468.0,302.0,231.0,345.0,610.0,114.0,1821.0,270.0,167.0,0.0,0.0,5.0,5.0
457623,Josh Gervais,I-Men,2156.0,238.0,302.0,231.0,344.0,829.0,127.0,244.0,280.0,65.0,0.0,0.0,5.0,5.0
117884,Joel Dizona,I-Men,1937.0,212.0,302.0,231.0,429.0,36.0,115.0,1508.0,283.0,47.0,0.0,0.0,5.0,5.0
104692,Anthony Vorachak,I-Men,1897.0,203.0,302.0,231.0,428.0,56.0,125.0,386.0,265.0,262.0,0.0,0.0,5.0,5.0
52811,Sean Fender,I-Men,5484.0,672.0,302.0,231.0,339.0,2393.0,122.0,576.0,234.0,2092.0,0.0,0.0,5.0,5.0
5480,Ian Berger,I-Men,2314.0,260.0,302.0,231.0,342.0,1175.0,123.0,509.0,266.0,226.0,0.0,0.0,5.0,5.0
166496,Alec Corley,I-Men,5650.0,701.0,302.0,231.0,263.0,3728.0,117.0,965.0,267.0,224.0,0.0,0.0,5.0,5.0
5976,Charlie Donohue,I-Men,7869.0,988.0,302.0,231.0,344.0,714.0,127.0,234.0,206.0,6616.0,0.0,0.0,5.0,5.0
59223,Brennan Fjord,I-Men,,,302.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
74189,Michael Rose,I-Men,,,302.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
91777,Zev Green,I-Men,,,302.0,231.0,343.0,912.0,101.0,7334.0,186.0,21610.0,0.0,0.0,5.0,5.0
65772,Gregor Schregle,I-Men,,,302.0,231.0,75.0,100155.0,105.0,4413.0,0.0,0.0,0.0,0.0,5.0,5.0
267027,Dre Strohm,I-Men,476.0,27.0,301.0,245.0,428.0,47.0,134.0,47.0,275.0,105.0,0.0,0.0,5.0,5.0
30740,Ben Stoneberg,I-Men,1729.0,177.0,301.0,245.0,426.0,100.0,117.0,1015.0,272.0,144.0,0.0,0.0,5.0,5.0
53824,Tyson Takasaki,I-Men,5467.0,668.0,301.0,245.0,343.0,969.0,114.0,2085.0,262.0,346.0,0.0,0.0,5.0,5.0
16196,Patrick O'Connell,I-Men,1241.0,104.0,301.0,245.0,426.0,112.0,131.0,67.0,271.0,153.0,0.0,0.0,5.0,5.0
262945,Graham Holmberg,I-Men,1370.0,121.0,301.0,245.0,426.0,104.0,128.0,153.0,263.0,307.0,0.0,0.0,5.0,5.0
63320,Kevin Scholtz,I-Men,1590.0,153.0,301.0,245.0,425.0,157.0,128.0,182.0,249.0,932.0,0.0,0.0,5.0,5.0
473719,Michael Palomba,I-Men,1267.0,108.0,301.0,245.0,424.0,216.0,125.0,386.0,264.0,279.0,0.0,0.0,5.0,5.0
1718,Alan Joyner,I-Men,1598.0,156.0,301.0,245.0,346.0,520.0,133.0,54.0,260.0,413.0,0.0,0.0,5.0,5.0
233123,Joe Rogan,I-Men,1454.0,129.0,301.0,245.0,346.0,478.0,130.0,87.0,256.0,536.0,0.0,0.0,5.0,5.0
147770,Kevin Manuel,I-Men,2701.0,302.0,301.0,245.0,344.0,901.0,118.0,899.0,266.0,229.0,0.0,0.0,5.0,5.0
36122,Nicky Hoberman,I-Men,1861.0,198.0,301.0,245.0,425.0,127.0,125.0,379.0,261.0,383.0,0.0,0.0,5.0,5.0
237569,Justin Murphy,I-Men,2887.0,328.0,301.0,245.0,423.0,317.0,115.0,1683.0,258.0,489.0,0.0,0.0,5.0,5.0
176812,Oscar Andersson,I-Men,1915.0,206.0,301.0,245.0,424.0,209.0,124.0,476.0,251.0,760.0,0.0,0.0,5.0,5.0
5783,Sean Thomson,I-Men,3838.0,444.0,301.0,245.0,341.0,1558.0,126.0,366.0,242.0,1430.0,0.0,0.0,5.0,5.0
2636,Duke Burk,I-Men,,,301.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
34303,Liam Hogan,I-Men,,,301.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
278578,JiMoo Son,I-Men,2999.0,341.0,300.0,261.0,343.0,910.0,122.0,618.0,254.0,662.0,0.0,0.0,5.0,5.0
6174,Josh kapacila,I-Men,3637.0,418.0,300.0,261.0,345.0,555.0,116.0,1122.0,253.0,689.0,0.0,0.0,5.0,5.0
15740,Lorin Adams,I-Men,1462.0,132.0,300.0,261.0,424.0,198.0,125.0,407.0,282.0,56.0,0.0,0.0,5.0,5.0
10169,Austin Malleolo,I-Men,574.0,44.0,300.0,261.0,425.0,135.0,128.0,154.0,314.0,4.0,0.0,0.0,5.0,5.0
95767,Joseph Guesnier,I-Men,1581.0,151.0,300.0,261.0,423.0,362.0,130.0,87.0,260.0,432.0,0.0,0.0,5.0,5.0
284801,Mitchell Sinnamon,I-Men,1615.0,160.0,300.0,261.0,428.0,52.0,137.0,34.0,261.0,372.0,0.0,0.0,5.0,5.0
225262,Chris Killian,I-Men,1824.0,191.0,300.0,261.0,427.0,85.0,127.0,318.0,250.0,831.0,0.0,0.0,5.0,5.0
247005,Streat Hoerner,I-Men,1465.0,134.0,300.0,261.0,426.0,96.0,123.0,494.0,262.0,352.0,0.0,0.0,5.0,5.0
694876,Kosta Ilic,I-Men,1929.0,207.0,300.0,261.0,346.0,491.0,122.0,605.0,260.0,399.0,0.0,0.0,5.0,5.0
243332,Vinny Casey,I-Men,1971.0,222.0,300.0,261.0,423.0,310.0,127.0,244.0,250.0,873.0,0.0,0.0,5.0,5.0
