,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
4616,Jeff Mischler,I-Men,41087,6569,98,15023,73,1682,300,5653,241,8479,85,10250
11079,Darin Hardy,I-Men,41099,6570,100,13376,64,5084,269,9575,244,6298,95,6766
14635,Alex Beardsley,I-Men,41103,6571,92,19485,64,5084,303,5262,244,6298,100,4974
30705,Beau Goorey,I-Men,41108,6572,127,677,37,23210,307,4841,245,5614,95,6766
53498,Dustin Russell,I-Men,41109,6573,104,9828,60,8355,287,6966,242,7711,90,8249
15621,Josh Born,I-Men,41110,6574,91,20344,80,566,271,9275,243,6980,103,3945
46896,Rob Estrella,I-Men,41119,6575,104,9828,61,7203,262,10640,248,3936,87,9512
16352,Heath Speckman,I-Men,41124,6576,114,3989,52,17049,289,6630,242,7711,98,5745
55449,Chris Henger,I-Men,41128,6577,105,8971,61,7203,268,9709,241,8479,95,6766
53593,Mark Barnett,I-Men,41136,6578,110,5888,60,8355,262,10640,240,9487,95,6766
7882,Emanuele Barcali,I-Men,41140,6579,101,12397,62,6415,288,6732,241,8479,94,7117
44063,Justin Griffee,I-Men,41149,6580,101,12397,60,8355,268,9709,241,8479,112,2209
29891,Brian Vranes,I-Men,41151,6581,104,9828,62,6415,321,3626,240,9487,81,11795
20455,Sam Scanlon,I-Men,41155,6582,98,15023,71,2243,288,6732,240,9487,92,7670
70029,Dustin Marshman,I-Men,41160,6583,106,8256,64,5084,300,5653,193,16422,98,5745
21269,Erik Acevedo,I-Men,41165,6584,100,13376,65,4529,272,9074,248,3936,85,10250
10970,Michael O'Keeffe,I-Men,41165,6584,110,5888,60,8355,249,12591,247,4447,86,9884
13048,Tim Capaldi,I-Men,41165,6584,107,7645,57,14755,277,8177,245,5614,100,4974
12379,John Jarrett,I-Men,41167,6587,98,15023,68,3235,283,7411,245,5614,86,9884
58990,John Brothers,I-Men,41179,6588,95,17102,61,7203,297,5901,241,8479,110,2494
60208,C Kendrick,I-Men,41190,6589,129,482,51,17530,291,6450,241,8479,90,8249
38516,Andrew Ilch,I-Men,41208,6590,89,22183,66,4082,303,5262,248,3936,98,5745
22466,Matt MacDonell,I-Men,41215,6591,106,8256,61,7203,303,5262,240,9487,83,11007
