,Name,Division,OverallRank,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
6109,Michelle Kinney,I-Women,401.0,24.0,193.0,71.0,351.0,119.0,266.0,10.0,105.0,49.0,141.0,152.0
109250,Kristine Andali,I-Women,417.0,25.0,190.0,213.0,367.0,30.0,257.0,117.0,105.0,49.0,175.0,8.0
3217,Jenn Jones,I-Women,420.0,26.0,204.0,8.0,360.0,64.0,264.0,17.0,100.0,233.0,147.0,98.0
7965,Elisabeth Akinwale,I-Women,431.0,27.0,194.0,60.0,352.0,115.0,256.0,153.0,106.0,35.0,150.0,68.0
36776,Colleen Maher,I-Women,439.0,28.0,193.0,90.0,340.0,252.0,258.0,83.0,115.0,9.0,231.0,5.0
10614,Whitney Heuser,I-Women,441.0,29.0,193.0,81.0,360.0,64.0,256.0,149.0,104.0,79.0,150.0,68.0
28918,Jenny Davis,I-Women,451.0,30.0,191.0,127.0,353.0,107.0,257.0,101.0,104.0,79.0,158.0,37.0
11218,Jaime Gold,I-Women,451.0,30.0,192.0,124.0,356.0,90.0,258.0,98.0,104.0,79.0,152.0,60.0
20774,Britney Holmberg,I-Women,453.0,32.0,194.0,57.0,369.0,25.0,256.0,150.0,104.0,79.0,142.0,142.0
5512,Stacie Tovar,I-Women,466.0,33.0,197.0,31.0,340.0,252.0,260.0,56.0,107.0,29.0,147.0,98.0
24883,Natalie McLain,I-Women,472.0,34.0,190.0,191.0,351.0,119.0,257.0,110.0,105.0,49.0,240.0,3.0
26980,Pip Malone,I-Women,475.0,35.0,192.0,100.0,341.0,246.0,258.0,78.0,106.0,35.0,167.0,16.0
33918,Eleni Frediani,I-Women,480.0,36.0,190.0,252.0,357.0,86.0,262.0,29.0,104.0,79.0,159.0,34.0
55121,Katrin Tanja Davidsdottir,I-Women,500.0,37.0,202.0,12.0,345.0,180.0,256.0,156.0,108.0,23.0,143.0,129.0
17675,Jessica Schulz,I-Women,516.0,38.0,194.0,68.0,344.0,208.0,261.0,40.0,101.0,181.0,165.0,19.0
52677,Taylor Richards-Lindsay,I-Women,518.0,39.0,192.0,111.0,358.0,84.0,265.0,13.0,101.0,181.0,143.0,129.0
97728,Mikki Nuccio,I-Women,523.0,40.0,202.0,10.0,363.0,44.0,251.0,438.0,114.0,10.0,164.0,21.0
51106,Tiffany Hendrickson,I-Women,536.0,41.0,186.0,350.0,376.0,14.0,264.0,18.0,102.0,138.0,167.0,16.0
122922,Jessa Lemoine,I-Women,542.0,42.0,198.0,26.0,343.0,223.0,255.0,207.0,105.0,49.0,158.0,37.0
50601,Valerie Voboril,I-Women,556.0,43.0,195.0,45.0,343.0,223.0,253.0,277.0,117.0,5.0,178.0,6.0
19501,Thuridur Erla Helgadottir,I-Women,564.0,44.0,190.0,188.0,361.0,53.0,262.0,30.0,101.0,181.0,145.0,112.0
11279,Talayna Fortunato,I-Women,588.0,45.0,196.0,39.0,331.0,429.0,257.0,111.0,122.0,2.0,177.0,7.0
12336,Kelley Jackson,I-Women,591.0,46.0,190.0,209.0,359.0,82.0,256.0,154.0,102.0,138.0,175.0,8.0
11626,Heather Welsh,I-Women,596.0,47.0,191.0,136.0,345.0,180.0,259.0,67.0,105.0,49.0,140.0,164.0
45179,Alicia Connors,I-Women,605.0,48.0,190.0,153.0,370.0,22.0,257.0,107.0,102.0,138.0,139.0,185.0
9559,Danielle Hale,I-Women,613.0,49.0,198.0,23.0,348.0,149.0,265.0,14.0,99.0,298.0,143.0,129.0
189706,Chelsey Hughes,I-Women,634.0,50.0,192.0,108.0,339.0,270.0,255.0,196.0,108.0,23.0,158.0,37.0
122816,Stacey Kroon,I-Women,647.0,51.0,198.0,24.0,331.0,429.0,260.0,47.0,104.0,79.0,150.0,68.0
45382,Ashley Higgins,I-Women,657.0,52.0,190.0,180.0,341.0,246.0,259.0,60.0,110.0,19.0,141.0,152.0
23907,Kendall Burnham,I-Women,663.0,53.0,191.0,134.0,347.0,162.0,256.0,146.0,104.0,79.0,142.0,142.0
17869,Allison Truscheit,I-Women,676.0,54.0,187.0,330.0,350.0,128.0,261.0,41.0,106.0,35.0,142.0,142.0
36699,Becky Conzelman,I-Women,688.0,55.0,190.0,205.0,349.0,138.0,254.0,259.0,105.0,49.0,158.0,37.0
82082,Fain Davis,I-Women,695.0,56.0,194.0,62.0,344.0,208.0,253.0,278.0,104.0,79.0,150.0,68.0
44316,Amy Bright,I-Women,696.0,57.0,192.0,97.0,340.0,252.0,253.0,280.0,109.0,21.0,157.0,46.0
36446,Nichole DeHart,I-Women,704.0,58.0,197.0,34.0,330.0,467.0,257.0,105.0,104.0,79.0,165.0,19.0
196834,Jamie Hagiya,I-Women,719.0,59.0,190.0,276.0,381.0,6.0,256.0,147.0,102.0,138.0,141.0,152.0
13506,Nicole Holcomb,I-Women,725.0,60.0,195.0,55.0,348.0,149.0,253.0,308.0,105.0,49.0,140.0,164.0
14354,Rory Zambard,I-Women,727.0,61.0,195.0,46.0,354.0,97.0,259.0,60.0,104.0,79.0,88.0,445.0
12480,Shanon Humphrey,I-Women,729.0,62.0,190.0,168.0,350.0,128.0,260.0,52.0,101.0,181.0,138.0,200.0
28886,Emily Friedman,I-Women,732.0,63.0,191.0,128.0,361.0,53.0,261.0,42.0,100.0,233.0,132.0,276.0
12701,Mandi Janowitz,I-Women,757.0,64.0,181.0,469.0,363.0,44.0,259.0,72.0,105.0,49.0,144.0,123.0
25528,Ruth Anderson Horrell,I-Women,778.0,65.0,192.0,118.0,333.0,375.0,263.0,22.0,100.0,233.0,160.0,30.0
8342,Elyse Umeda,I-Women,788.0,66.0,192.0,117.0,345.0,180.0,260.0,59.0,97.0,406.0,161.0,26.0
30824,Hjördís Óskarsdóttir,I-Women,797.0,67.0,193.0,77.0,334.0,361.0,260.0,57.0,102.0,138.0,140.0,164.0
7041,Marissa Luchau,I-Women,813.0,68.0,190.0,158.0,380.0,7.0,251.0,457.0,105.0,49.0,142.0,142.0
50555,Christina Goode,I-Women,817.0,69.0,190.0,183.0,350.0,128.0,254.0,237.0,107.0,29.0,135.0,240.0
3678,Margaux Alvarez,I-Women,842.0,70.0,192.0,109.0,360.0,64.0,252.0,358.0,103.0,111.0,138.0,200.0
26745,Jolene Grant,I-Women,845.0,71.0,188.0,320.0,345.0,180.0,259.0,75.0,100.0,233.0,158.0,37.0
14832,Amanda Schwartz,I-Women,846.0,72.0,190.0,252.0,345.0,180.0,258.0,81.0,101.0,181.0,141.0,152.0
20612,Rachel Martinez,I-Women,862.0,73.0,191.0,144.0,345.0,180.0,253.0,331.0,101.0,181.0,161.0,26.0
48160,Ashley Almand,I-Women,886.0,74.0,193.0,86.0,339.0,270.0,258.0,97.0,100.0,233.0,138.0,200.0
30996,Brandy Richardson,I-Women,897.0,75.0,201.0,15.0,377.0,11.0,254.0,230.0,106.0,35.0,85.0,606.0
57509,Tanya Wagner,I-Women,899.0,76.0,195.0,48.0,360.0,64.0,256.0,151.0,104.0,79.0,86.0,557.0
27310,Colleen Lehane,I-Women,900.0,77.0,193.0,82.0,327.0,608.0,258.0,93.0,105.0,49.0,150.0,68.0
11767,Mel Ockerby,I-Women,901.0,78.0,190.0,218.0,332.0,399.0,257.0,128.0,102.0,138.0,166.0,18.0
11708,Amanda Goodman,I-Women,908.0,79.0,195.0,52.0,326.0,653.0,264.0,16.0,102.0,138.0,156.0,49.0
53306,Elizabeth Warren,I-Women,911.0,80.0,190.0,160.0,345.0,180.0,252.0,380.0,104.0,79.0,145.0,112.0
21024,Courtney Walker,I-Women,916.0,81.0,190.0,213.0,360.0,64.0,252.0,369.0,100.0,233.0,158.0,37.0
134076,Alea Helmick,I-Women,923.0,82.0,197.0,30.0,362.0,49.0,250.0,576.0,105.0,49.0,137.0,219.0
3991,Lauren Brooks,I-Women,934.0,83.0,192.0,121.0,339.0,270.0,258.0,84.0,112.0,14.0,88.0,445.0
1751,Philippa Robinson,I-Women,949.0,84.0,192.0,125.0,346.0,173.0,257.0,113.0,99.0,298.0,135.0,240.0
35645,Shelly Sourdis,I-Women,964.0,85.0,183.0,422.0,360.0,64.0,255.0,181.0,100.0,233.0,151.0,64.0
5288,Ginny King,I-Women,966.0,86.0,179.0,514.0,361.0,53.0,260.0,54.0,100.0,233.0,145.0,112.0
19727,Jennifer Lymburner,I-Women,970.0,87.0,190.0,283.0,361.0,53.0,260.0,58.0,100.0,233.0,127.0,343.0
43069,Mary Lampas,I-Women,984.0,88.0,190.0,173.0,346.0,173.0,253.0,293.0,101.0,181.0,140.0,164.0
7237,Sarah Hopping,I-Women,995.0,89.0,201.0,17.0,330.0,467.0,252.0,368.0,112.0,14.0,143.0,129.0
7287,Amy Dracup,I-Women,1009.0,90.0,191.0,150.0,328.0,571.0,266.0,8.0,102.0,138.0,142.0,142.0
6442,Adrienne Briggs,I-Women,1036.0,91.0,190.0,183.0,346.0,173.0,255.0,198.0,101.0,181.0,130.0,301.0
3200,Danielle Horan,I-Women,1047.0,92.0,193.0,91.0,327.0,608.0,261.0,38.0,101.0,181.0,143.0,129.0
26639,Ashley Van Boxtel,I-Women,1065.0,93.0,202.0,11.0,335.0,331.0,255.0,197.0,96.0,492.0,159.0,34.0
15695,Vicki Webber,I-Women,1068.0,94.0,190.0,293.0,336.0,316.0,259.0,62.0,100.0,233.0,140.0,164.0
8719,Jennie McKernan,I-Women,1071.0,95.0,190.0,252.0,348.0,149.0,251.0,436.0,103.0,111.0,144.0,123.0
25320,Chelsey Grigsby,I-Women,1074.0,96.0,183.0,428.0,361.0,53.0,260.0,49.0,98.0,344.0,138.0,200.0
6913,Lindy Wall,I-Women,1078.0,97.0,190.0,218.0,362.0,49.0,259.0,74.0,95.0,585.0,141.0,152.0
1910,Emily Beers,I-Women,1084.0,98.0,194.0,58.0,376.0,14.0,251.0,429.0,102.0,138.0,88.0,445.0
20084,Kyla Evers,I-Women,1097.0,99.0,181.0,457.0,345.0,180.0,254.0,226.0,105.0,49.0,139.0,185.0
21686,Elma Ducic,I-Women,1107.0,100.0,177.0,623.0,377.0,11.0,255.0,180.0,101.0,181.0,145.0,112.0
9440,Anna Tunnicliffe,I-Women,1143.0,101.0,193.0,73.0,357.0,86.0,253.0,280.0,99.0,298.0,89.0,406.0
3605,Kristin Reffett,I-Women,1159.0,102.0,190.0,163.0,334.0,361.0,263.0,21.0,103.0,111.0,87.0,503.0
33480,Marie-Émilie Perreault,I-Women,1161.0,103.0,182.0,453.0,344.0,208.0,255.0,189.0,103.0,111.0,138.0,200.0
39130,Katelyn Haynes,I-Women,1171.0,104.0,191.0,138.0,345.0,180.0,254.0,250.0,100.0,233.0,125.0,370.0
11895,Grace Dresher,I-Women,1176.0,105.0,188.0,308.0,331.0,429.0,256.0,143.0,103.0,111.0,139.0,185.0
8770,Cheryl Brost,I-Women,1183.0,106.0,187.0,331.0,346.0,173.0,257.0,123.0,103.0,111.0,88.0,445.0
13852,Jaime Noyce,I-Women,1191.0,107.0,193.0,70.0,360.0,64.0,256.0,170.0,102.0,138.0,83.0,749.0
92177,Kady Onken,I-Women,1194.0,108.0,195.0,49.0,353.0,107.0,249.0,727.0,103.0,111.0,138.0,200.0
29685,Claire Fernandez,I-Women,1208.0,109.0,190.0,285.0,350.0,128.0,257.0,120.0,98.0,344.0,128.0,331.0
15996,Allison King,I-Women,1210.0,110.0,193.0,87.0,345.0,180.0,251.0,426.0,103.0,111.0,89.0,406.0
16973,Carleen Lessard,I-Women,1213.0,111.0,190.0,154.0,360.0,64.0,257.0,108.0,102.0,138.0,83.0,749.0
13383,Gretchen Kittelberger,I-Women,1227.0,112.0,198.0,25.0,323.0,763.0,254.0,262.0,104.0,79.0,147.0,98.0
32618,Krissi Brown,I-Women,1230.0,113.0,184.0,392.0,331.0,429.0,263.0,24.0,100.0,233.0,141.0,152.0
6989,Nina Arezina,I-Women,1236.0,114.0,176.0,678.0,361.0,53.0,256.0,141.0,102.0,138.0,136.0,226.0
13802,Elyse Persico,I-Women,1237.0,115.0,179.0,540.0,330.0,467.0,261.0,43.0,102.0,138.0,156.0,49.0
2687,Jessica Core,I-Women,1278.0,116.0,191.0,137.0,327.0,608.0,254.0,232.0,100.0,233.0,150.0,68.0
12247,Alicia Staton,I-Women,1282.0,117.0,183.0,409.0,332.0,399.0,256.0,144.0,103.0,111.0,137.0,219.0
7594,Bailey Rogers,I-Women,1296.0,118.0,193.0,84.0,340.0,252.0,257.0,105.0,99.0,298.0,86.0,557.0
45940,Jennifer Butler,I-Women,1302.0,119.0,192.0,103.0,324.0,726.0,252.0,401.0,106.0,35.0,158.0,37.0
22514,Sara McRoberts,I-Women,1317.0,120.0,193.0,80.0,356.0,90.0,247.0,916.0,104.0,79.0,141.0,152.0
33304,Melissa Dinsmore,I-Women,1335.0,121.0,188.0,318.0,348.0,149.0,251.0,461.0,101.0,181.0,136.0,226.0
11210,Kristin King,I-Women,1338.0,122.0,192.0,93.0,360.0,64.0,247.0,938.0,104.0,79.0,140.0,164.0
8692,Ashleigh Woods,I-Women,1349.0,123.0,190.0,246.0,335.0,331.0,257.0,116.0,96.0,492.0,140.0,164.0
15603,Madelyn Curley,I-Women,1351.0,124.0,188.0,317.0,340.0,252.0,254.0,264.0,97.0,406.0,145.0,112.0
6091,Megin Oczkowski,I-Women,1358.0,125.0,191.0,146.0,323.0,763.0,253.0,311.0,104.0,79.0,153.0,59.0
97515,Alicia McKenzie,I-Women,1363.0,126.0,188.0,306.0,330.0,467.0,255.0,212.0,102.0,138.0,135.0,240.0
4422,Holly Mata,I-Women,1386.0,127.0,190.0,228.0,320.0,916.0,257.0,115.0,107.0,29.0,147.0,98.0
6343,Lisa Mealey,I-Women,1389.0,128.0,190.0,228.0,369.0,25.0,248.0,843.0,101.0,181.0,145.0,112.0
149209,Emma Rosengren,I-Women,1391.0,129.0,190.0,242.0,322.0,810.0,255.0,200.0,104.0,79.0,152.0,60.0
195732,Charity Vale,I-Women,1392.0,130.0,179.0,516.0,339.0,270.0,257.0,136.0,97.0,406.0,151.0,64.0
33723,Isabelle Tardif,I-Women,1399.0,131.0,190.0,259.0,335.0,331.0,253.0,326.0,99.0,298.0,139.0,185.0
9184,Janet Black,I-Women,1414.0,132.0,190.0,180.0,317.0,1082.0,258.0,88.0,105.0,49.0,169.0,15.0
52940,Lindsey Smith,I-Women,1422.0,133.0,190.0,191.0,317.0,1082.0,262.0,28.0,108.0,23.0,147.0,98.0
26956,Melissa Dixon,I-Women,1427.0,134.0,196.0,40.0,315.0,1188.0,261.0,37.0,104.0,79.0,149.0,83.0
36285,Sarabeth Phillips,I-Women,1443.0,135.0,197.0,37.0,319.0,974.0,259.0,70.0,100.0,233.0,143.0,129.0
23023,Kat Ljubicic,I-Women,1446.0,136.0,193.0,75.0,325.0,690.0,252.0,336.0,100.0,233.0,145.0,112.0
1648,Jessica Martinez,I-Women,1447.0,137.0,190.0,285.0,350.0,128.0,257.0,104.0,101.0,181.0,83.0,749.0
33941,Brenda Chavez,I-Women,1448.0,138.0,190.0,265.0,330.0,467.0,252.0,350.0,106.0,35.0,128.0,331.0
8178,Dara Ching,I-Women,1449.0,139.0,197.0,33.0,325.0,690.0,253.0,329.0,102.0,138.0,134.0,259.0
8741,Angie Hay,I-Women,1458.0,140.0,194.0,63.0,360.0,64.0,258.0,89.0,99.0,298.0,81.0,944.0
123582,Cassidy Lance,I-Women,1468.0,141.0,190.0,221.0,320.0,916.0,259.0,68.0,100.0,233.0,160.0,30.0
19129,Gabrielle Andrews,I-Women,1477.0,142.0,191.0,131.0,356.0,90.0,252.0,352.0,100.0,233.0,84.0,671.0
12348,Karen McCadam,I-Women,1482.0,143.0,183.0,411.0,326.0,653.0,257.0,132.0,100.0,233.0,155.0,53.0
35402,Lindsey Cascarina,I-Women,1509.0,144.0,194.0,60.0,389.0,1.0,249.0,658.0,100.0,233.0,86.0,557.0
10565,Jenna Gracey,I-Women,1509.0,144.0,190.0,171.0,345.0,180.0,252.0,357.0,99.0,298.0,87.0,503.0
14141,Crissy Cannon,I-Women,1516.0,146.0,186.0,342.0,322.0,810.0,258.0,94.0,100.0,233.0,158.0,37.0
16665,Amy Durfee,I-Women,1516.0,146.0,185.0,373.0,332.0,399.0,251.0,440.0,101.0,181.0,144.0,123.0
13632,Erin Light,I-Women,1523.0,148.0,190.0,197.0,358.0,84.0,255.0,209.0,101.0,181.0,82.0,852.0
16492,Lindsey Kelly,I-Women,1533.0,149.0,179.0,541.0,345.0,180.0,252.0,353.0,100.0,233.0,136.0,226.0
37252,Stephanie Perez,I-Women,1545.0,150.0,175.0,822.0,347.0,162.0,258.0,87.0,97.0,406.0,150.0,68.0
133489,Andrea Miller,I-Women,1556.0,151.0,192.0,126.0,352.0,115.0,249.0,695.0,98.0,344.0,132.0,276.0
15438,Sonya McMillan,I-Women,1556.0,151.0,190.0,174.0,349.0,138.0,254.0,254.0,102.0,138.0,82.0,852.0
1812,Miranda Oldroyd,I-Women,1563.0,153.0,190.0,228.0,321.0,858.0,257.0,126.0,103.0,111.0,135.0,240.0
16914,Melissa Wills,I-Women,1566.0,154.0,182.0,449.0,331.0,429.0,257.0,131.0,99.0,298.0,134.0,259.0
13713,Chelsea Miller,I-Women,1575.0,155.0,185.0,371.0,329.0,550.0,254.0,233.0,101.0,181.0,135.0,240.0
25678,Annie Sakamoto,I-Women,1584.0,156.0,190.0,197.0,320.0,916.0,261.0,44.0,97.0,406.0,164.0,21.0
29936,Kristina Lum,I-Women,1588.0,157.0,190.0,170.0,328.0,571.0,251.0,485.0,100.0,233.0,143.0,129.0
3619,Holly Ada McIlroy,I-Women,1624.0,158.0,191.0,147.0,328.0,571.0,252.0,382.0,104.0,79.0,88.0,445.0
18394,Brittany Kopp,I-Women,1627.0,159.0,186.0,346.0,331.0,429.0,256.0,175.0,96.0,492.0,139.0,185.0
3477,Claire Fraser,I-Women,1634.0,160.0,181.0,460.0,322.0,810.0,259.0,63.0,100.0,233.0,150.0,68.0
13509,Dana Pancoast,I-Women,1640.0,161.0,190.0,226.0,329.0,550.0,251.0,450.0,102.0,138.0,132.0,276.0
3118,Danielle Sawyer,I-Women,1641.0,162.0,185.0,377.0,336.0,316.0,248.0,776.0,102.0,138.0,159.0,34.0
59627,Shanna Duvall,I-Women,1646.0,163.0,190.0,174.0,328.0,571.0,255.0,225.0,95.0,585.0,148.0,91.0
100335,Pam Eamranond,I-Women,1646.0,163.0,190.0,246.0,322.0,810.0,257.0,128.0,99.0,298.0,140.0,164.0
26490,Marcie Wells,I-Women,1647.0,165.0,178.0,564.0,326.0,653.0,255.0,186.0,102.0,138.0,146.0,106.0
5306,Emilie Pfeiffer-Badoux,I-Women,1651.0,166.0,181.0,469.0,328.0,571.0,256.0,167.0,101.0,181.0,133.0,263.0
46243,Julie Foucher,I-Women,1663.0,167.0,195.0,52.0,310.0,1458.0,258.0,90.0,105.0,49.0,170.0,14.0
21863,Tina Popp,I-Women,1680.0,168.0,175.0,743.0,345.0,180.0,252.0,350.0,101.0,181.0,136.0,226.0
27855,Lauren Plumey,I-Women,1681.0,169.0,178.0,575.0,336.0,316.0,258.0,86.0,99.0,298.0,89.0,406.0
21901,Lisa Shiu,I-Women,1683.0,170.0,188.0,315.0,327.0,608.0,258.0,76.0,101.0,181.0,87.0,503.0
2813,Ashley Werner,I-Women,1686.0,171.0,177.0,668.0,370.0,22.0,252.0,413.0,102.0,138.0,88.0,445.0
27238,Brenda Koolhaas,I-Women,1711.0,172.0,183.0,433.0,346.0,173.0,248.0,815.0,102.0,138.0,141.0,152.0
37589,Leah Shullenberger,I-Women,1724.0,173.0,176.0,696.0,328.0,571.0,258.0,82.0,100.0,233.0,142.0,142.0
19412,Ashley Carriveau,I-Women,1726.0,174.0,200.0,20.0,308.0,1567.0,261.0,36.0,106.0,35.0,150.0,68.0
23578,Sarah Scholl,I-Women,1737.0,175.0,190.0,281.0,320.0,916.0,252.0,346.0,103.0,111.0,149.0,83.0
24137,Caitlin Ritchey,I-Women,1745.0,176.0,185.0,383.0,360.0,64.0,255.0,213.0,100.0,233.0,82.0,852.0
39890,Larissa Costa,I-Women,1755.0,177.0,179.0,558.0,330.0,467.0,253.0,291.0,102.0,138.0,130.0,301.0
29318,Christa Giordano,I-Women,1764.0,178.0,186.0,355.0,333.0,375.0,257.0,133.0,98.0,344.0,86.0,557.0
1854,Katie Crowe,I-Women,1770.0,179.0,187.0,335.0,350.0,128.0,260.0,53.0,93.0,751.0,87.0,503.0
8946,Molly Abgarian,I-Women,1773.0,180.0,175.0,749.0,326.0,653.0,256.0,177.0,103.0,111.0,149.0,83.0
42851,Jennifer James,I-Women,1775.0,181.0,194.0,67.0,324.0,726.0,261.0,45.0,96.0,492.0,88.0,445.0
15929,Molly Biss,I-Women,1778.0,182.0,190.0,221.0,331.0,429.0,252.0,339.0,98.0,344.0,88.0,445.0
56839,JoEllyn McAtee,I-Women,1785.0,183.0,191.0,144.0,363.0,44.0,254.0,229.0,101.0,181.0,79.0,1187.0
26770,Carlie Stone,I-Women,1797.0,184.0,190.0,159.0,330.0,467.0,250.0,589.0,104.0,79.0,87.0,503.0
18350,Sonia Rodriguez,I-Women,1798.0,185.0,190.0,291.0,364.0,42.0,257.0,114.0,99.0,298.0,80.0,1053.0
4568,Christie Hennon,I-Women,1806.0,186.0,190.0,193.0,330.0,467.0,254.0,242.0,100.0,233.0,84.0,671.0
38228,Kristen Rosenau,I-Women,1807.0,187.0,181.0,469.0,366.0,33.0,247.0,1041.0,104.0,79.0,139.0,185.0
34773,Casilia Loessberg,I-Women,1807.0,187.0,183.0,414.0,343.0,223.0,251.0,427.0,99.0,298.0,88.0,445.0
6040,Sam Heydlauff,I-Women,1809.0,189.0,190.0,212.0,318.0,1026.0,253.0,335.0,102.0,138.0,147.0,98.0
12168,Bridget Ahlfield,I-Women,1813.0,190.0,190.0,197.0,324.0,726.0,253.0,284.0,97.0,406.0,138.0,200.0
5601,Taylor Flynn,I-Women,1832.0,191.0,192.0,106.0,320.0,916.0,258.0,96.0,98.0,344.0,125.0,370.0
23152,Domoni Alexander,I-Women,1835.0,192.0,183.0,416.0,330.0,467.0,252.0,389.0,98.0,344.0,137.0,219.0
99143,Karen Hawley,I-Women,1839.0,193.0,175.0,790.0,330.0,467.0,255.0,220.0,99.0,298.0,151.0,64.0
2473,Katie Schmitz,I-Women,1845.0,194.0,189.0,297.0,332.0,399.0,252.0,405.0,102.0,138.0,85.0,606.0
35833,Erin Taylor,I-Women,1846.0,195.0,192.0,101.0,338.0,291.0,246.0,1116.0,102.0,138.0,138.0,200.0
3278,Pamela Gagnon,I-Women,1853.0,196.0,188.0,306.0,331.0,429.0,254.0,267.0,97.0,406.0,88.0,445.0
187780,Judy McElroy,I-Women,1867.0,197.0,180.0,496.0,335.0,331.0,253.0,297.0,99.0,298.0,88.0,445.0
11460,Candice Ruiz,I-Women,1868.0,198.0,192.0,111.0,361.0,53.0,251.0,448.0,95.0,585.0,84.0,671.0
5201,Lisa Rendic,I-Women,1872.0,199.0,174.0,861.0,330.0,467.0,253.0,324.0,106.0,35.0,139.0,185.0
4887,Krista Owens,I-Women,1904.0,200.0,184.0,385.0,330.0,467.0,250.0,535.0,103.0,111.0,89.0,406.0
36435,kylee claxton,I-Women,1913.0,201.0,190.0,274.0,323.0,763.0,255.0,194.0,97.0,406.0,132.0,276.0
98748,Oxana Slivenko,I-Women,1918.0,202.0,190.0,236.0,328.0,571.0,250.0,576.0,97.0,406.0,143.0,129.0
51985,Leslie Johnson,I-Women,1929.0,203.0,181.0,474.0,323.0,763.0,255.0,219.0,100.0,233.0,135.0,240.0
11881,Heather Bergeron,I-Women,1931.0,204.0,193.0,75.0,321.0,858.0,251.0,512.0,98.0,344.0,142.0,142.0
83400,Mendy Finley,I-Women,1936.0,205.0,172.0,977.0,344.0,208.0,252.0,406.0,101.0,181.0,140.0,164.0
35152,Jackie Perez,I-Women,1937.0,206.0,179.0,521.0,317.0,1082.0,257.0,123.0,101.0,181.0,160.0,30.0
26295,Caroline Fryklund,I-Women,1937.0,206.0,190.0,281.0,318.0,1026.0,260.0,55.0,96.0,492.0,149.0,83.0
8620,Tracy Hutt,I-Women,1943.0,208.0,190.0,156.0,352.0,115.0,247.0,929.0,99.0,298.0,88.0,445.0
8691,Samantha Snyder,I-Women,1953.0,209.0,179.0,545.0,365.0,39.0,256.0,148.0,94.0,664.0,86.0,557.0
