,Name,Division,OverallRank,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
2536,Samantha Briggs,I-Women,16.0,1.0,205.0,3.0,383.0,3.0,323.0,1.0,126.0,1.0,175.0,8.0
8404,Camille Leblanc-Bazinet,I-Women,43.0,2.0,203.0,9.0,368.0,27.0,287.0,2.0,119.0,3.0,244.0,2.0
49672,Lindsay Bourdon,I-Women,54.0,3.0,205.0,4.0,368.0,27.0,266.0,12.0,114.0,10.0,256.0,1.0
36734,Kristan Clever,I-Women,95.0,4.0,211.0,1.0,365.0,39.0,263.0,26.0,117.0,5.0,162.0,24.0
14093,Deborah Cordner Carson,I-Women,133.0,5.0,201.0,18.0,364.0,42.0,266.0,11.0,105.0,49.0,172.0,13.0
4925,Emily Bridgers,I-Women,137.0,6.0,200.0,19.0,366.0,33.0,267.0,7.0,114.0,10.0,150.0,68.0
34182,Andrea Ager,I-Women,158.0,7.0,199.0,21.0,378.0,10.0,264.0,15.0,107.0,29.0,149.0,83.0
37537,Alessandra Pichelli,I-Women,221.0,8.0,198.0,28.0,367.0,30.0,257.0,102.0,106.0,35.0,161.0,26.0
11215,Kaleena Ladeairous,I-Women,227.0,9.0,204.0,6.0,385.0,2.0,261.0,34.0,104.0,79.0,146.0,106.0
38474,Ashleigh Moe,I-Women,227.0,9.0,193.0,74.0,375.0,16.0,260.0,50.0,104.0,79.0,175.0,8.0
21087,Amanda Allen,I-Women,233.0,11.0,196.0,38.0,362.0,49.0,263.0,20.0,106.0,35.0,148.0,91.0
8015,Rebecca Voigt,I-Women,236.0,12.0,197.0,36.0,366.0,33.0,261.0,35.0,104.0,79.0,155.0,53.0
2942,Kara Webb,I-Women,240.0,13.0,199.0,22.0,351.0,119.0,268.0,4.0,105.0,49.0,157.0,46.0
3407,Michele Letendre,I-Women,294.0,14.0,201.0,16.0,340.0,252.0,268.0,5.0,111.0,17.0,239.0,4.0
22982,Emily Carothers,I-Women,296.0,15.0,195.0,43.0,360.0,64.0,257.0,108.0,113.0,13.0,150.0,68.0
45491,Jennifer Smith,I-Women,305.0,16.0,198.0,27.0,383.0,3.0,256.0,163.0,112.0,14.0,147.0,98.0
22168,Lacey Van Der Marel,I-Women,308.0,17.0,196.0,41.0,354.0,97.0,259.0,68.0,105.0,49.0,155.0,53.0
13372,Michelle Crawford,I-Women,321.0,18.0,192.0,114.0,368.0,27.0,263.0,23.0,103.0,111.0,157.0,46.0
9759,Cheryl Nasso,I-Women,328.0,19.0,195.0,47.0,353.0,107.0,258.0,77.0,107.0,29.0,150.0,68.0
9121,Christy Phillips,I-Women,329.0,20.0,193.0,87.0,379.0,9.0,259.0,65.0,102.0,138.0,160.0,30.0
113427,Alyssa Ritchey,I-Women,330.0,21.0,192.0,95.0,347.0,162.0,264.0,19.0,117.0,5.0,156.0,49.0
7134,Sarah Pierce,I-Women,353.0,22.0,193.0,92.0,351.0,119.0,266.0,9.0,109.0,21.0,145.0,112.0
7290,Martina Barbaro,I-Women,375.0,23.0,192.0,102.0,367.0,30.0,261.0,39.0,110.0,19.0,139.0,185.0
